,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
93,90274,Palos Verdes Peninsula,Los Angeles,9268,3.2,1.0,2.7,3.3,5.0,8.4,8.6,14.2,10.3,43.3,158673.0,221457.0
94,90275,Rancho Palos Verdes,Los Angeles,15823,3.1,1.4,4.0,4.9,5.5,11.7,10.2,19.5,14.4,25.4,120553.0,151218.0
95,90277,Redondo Beach,Los Angeles,16011,3.9,2.7,4.5,5.1,6.8,13.2,14.1,20.5,11.9,17.4,99358.0,131837.0
96,90278,Redondo Beach,Los Angeles,15662,2.6,3.1,5.0,5.5,7.7,11.8,12.0,20.4,14.3,17.8,106102.0,126570.0
97,90280,South Gate,Los Angeles,23465,5.0,5.6,13.5,13.1,17.0,18.7,13.0,10.3,2.7,1.1,45522.0,57206.0
98,90290,Topanga,Los Angeles,2250,4.0,1.2,3.1,6.9,5.7,15.6,10.4,16.6,13.9,22.6,104392.0,140970.0
99,90291,Venice,Los Angeles,13826,6.4,4.5,7.0,7.4,8.0,13.4,10.9,14.3,9.7,18.1,82467.0,126256.0
100,90292,Marina Del Rey,Los Angeles,12179,5.0,4.4,3.9,5.2,7.6,12.4,10.5,23.4,9.5,18.1,100842.0,132569.0
101,90293,Playa Del Rey,Los Angeles,6655,3.4,1.8,7.0,5.2,8.9,18.2,11.2,18.4,7.2,18.6,85561.0,134062.0
102,90301,Inglewood,Los Angeles,12068,8.8,6.9,15.3,12.3,18.1,17.3,12.7,6.1,1.9,0.7,40799.0,51000.0
103,90302,Inglewood,Los Angeles,10894,8.2,5.1,12.4,14.0,17.1,19.0,7.8,11.4,3.5,1.5,43494.0,57866.0
104,90303,Inglewood,Los Angeles,7297,7.7,8.9,12.6,14.8,14.4,18.2,10.6,7.6,3.5,1.9,40632.0,56071.0
105,90304,Inglewood,Los Angeles,6549,6.9,6.0,17.9,14.8,16.8,19.5,8.3,7.0,1.6,1.1,38374.0,49751.0
106,90305,Inglewood,Los Angeles,5793,5.1,3.9,6.2,10.7,13.1,17.1,12.8,17.8,8.4,5.0,66114.0,84836.0
107,90401,Santa Monica,Los Angeles,4689,7.8,5.2,9.0,3.8,11.7,16.5,8.0,17.7,8.7,11.7,67022.0,101942.0
108,90402,Santa Monica,Los Angeles,5029,6.8,3.2,5.1,4.7,5.2,8.6,3.8,15.7,8.0,39.0,140612.0,258718.0
109,90403,Santa Monica,Los Angeles,13598,4.7,5.7,7.1,4.5,7.9,14.5,10.6,18.1,10.7,16.2,85870.0,120466.0
